,,,,,,,,,WTeam,LTeam,WLoc
Sat Apr 15 2017,3:00 PM,Indiana Pacers,108,Cleveland Cavaliers,109,Box Score,,,Cleveland Cavaliers,Indiana Pacers,H
Sat Apr 15 2017,10:30 PM,Utah Jazz,97,Los Angeles Clippers,95,Box Score,,,Utah Jazz,Los Angeles Clippers,V
Sat Apr 15 2017,8:00 PM,Memphis Grizzlies,82,San Antonio Spurs,111,Box Score,,,San Antonio Spurs,Memphis Grizzlies,H
Sat Apr 15 2017,5:30 PM,Milwaukee Bucks,97,Toronto Raptors,83,Box Score,,,Milwaukee Bucks,Toronto Raptors,V
Sun Apr 16 2017,6:30 PM,Chicago Bulls,106,Boston Celtics,102,Box Score,,,Chicago Bulls,Boston Celtics,V
Sun Apr 16 2017,3:30 PM,Portland Trail Blazers,109,Golden State Warriors,121,Box Score,,,Golden State Warriors,Portland Trail Blazers,H
Sun Apr 16 2017,9:00 PM,Oklahoma City Thunder,87,Houston Rockets,118,Box Score,,,Houston Rockets,Oklahoma City Thunder,H
Sun Apr 16 2017,1:00 PM,Atlanta Hawks,107,Washington Wizards,114,Box Score,,,Washington Wizards,Atlanta Hawks,H
Mon Apr 17 2017,7:00 PM,Indiana Pacers,111,Cleveland Cavaliers,117,Box Score,,,Cleveland Cavaliers,Indiana Pacers,H
Mon Apr 17 2017,9:30 PM,Memphis Grizzlies,82,San Antonio Spurs,96,Box Score,,,San Antonio Spurs,Memphis Grizzlies,H
Tue Apr 18 2017,8:00 PM,Chicago Bulls,111,Boston Celtics,97,Box Score,,,Chicago Bulls,Boston Celtics,V
Tue Apr 18 2017,10:30 PM,Utah Jazz,91,Los Angeles Clippers,99,Box Score,,,Los Angeles Clippers,Utah Jazz,H
Tue Apr 18 2017,7:00 PM,Milwaukee Bucks,100,Toronto Raptors,106,Box Score,,,Toronto Raptors,Milwaukee Bucks,H
Wed Apr 19 2017,10:30 PM,Portland Trail Blazers,81,Golden State Warriors,110,Box Score,,,Golden State Warriors,Portland Trail Blazers,H
Wed Apr 19 2017,8:00 PM,Oklahoma City Thunder,111,Houston Rockets,115,Box Score,,,Houston Rockets,Oklahoma City Thunder,H
Wed Apr 19 2017,7:00 PM,Atlanta Hawks,101,Washington Wizards,109,Box Score,,,Washington Wizards,Atlanta Hawks,H
Thu Apr 20 2017,7:00 PM,Cleveland Cavaliers,119,Indiana Pacers,114,Box Score,,,Cleveland Cavaliers,Indiana Pacers,V
Thu Apr 20 2017,9:30 PM,San Antonio Spurs,94,Memphis Grizzlies,105,Box Score,,,Memphis Grizzlies,San Antonio Spurs,H
Thu Apr 20 2017,8:00 PM,Toronto Raptors,77,Milwaukee Bucks,104,Box Score,,,Milwaukee Bucks,Toronto Raptors,H
Fri Apr 21 2017,7:00 PM,Boston Celtics,104,Chicago Bulls,87,Box Score,,,Boston Celtics,Chicago Bulls,V
Fri Apr 21 2017,9:30 PM,Houston Rockets,113,Oklahoma City Thunder,115,Box Score,,,Oklahoma City Thunder,Houston Rockets,H
Fri Apr 21 2017,10:00 PM,Los Angeles Clippers,111,Utah Jazz,106,Box Score,,,Los Angeles Clippers,Utah Jazz,V
Sat Apr 22 2017,5:30 PM,Washington Wizards,98,Atlanta Hawks,116,Box Score,,,Atlanta Hawks,Washington Wizards,H
Sat Apr 22 2017,8:00 PM,San Antonio Spurs,108,Memphis Grizzlies,110,Box Score,OT,,Memphis Grizzlies,San Antonio Spurs,H
Sat Apr 22 2017,3:00 PM,Toronto Raptors,87,Milwaukee Bucks,76,Box Score,,,Toronto Raptors,Milwaukee Bucks,V
Sat Apr 22 2017,10:30 PM,Golden State Warriors,119,Portland Trail Blazers,113,Box Score,,,Golden State Warriors,Portland Trail Blazers,V
Sun Apr 23 2017,6:30 PM,Boston Celtics,104,Chicago Bulls,95,Box Score,,,Boston Celtics,Chicago Bulls,V
Sun Apr 23 2017,1:00 PM,Cleveland Cavaliers,106,Indiana Pacers,102,Box Score,,,Cleveland Cavaliers,Indiana Pacers,V
Sun Apr 23 2017,3:30 PM,Houston Rockets,113,Oklahoma City Thunder,109,Box Score,,,Houston Rockets,Oklahoma City Thunder,V
Sun Apr 23 2017,9:00 PM,Los Angeles Clippers,98,Utah Jazz,105,Box Score,,,Utah Jazz,Los Angeles Clippers,H
Mon Apr 24 2017,8:00 PM,Washington Wizards,101,Atlanta Hawks,111,Box Score,,,Atlanta Hawks,Washington Wizards,H
Mon Apr 24 2017,10:30 PM,Golden State Warriors,128,Portland Trail Blazers,103,Box Score,,,Golden State Warriors,Portland Trail Blazers,V
Mon Apr 24 2017,7:00 PM,Milwaukee Bucks,93,Toronto Raptors,118,Box Score,,,Toronto Raptors,Milwaukee Bucks,H
Tue Apr 25 2017,8:00 PM,Oklahoma City Thunder,99,Houston Rockets,105,Box Score,,,Houston Rockets,Oklahoma City Thunder,H
Tue Apr 25 2017,10:30 PM,Utah Jazz,96,Los Angeles Clippers,92,Box Score,,,Utah Jazz,Los Angeles Clippers,V
Tue Apr 25 2017,9:00 PM,Memphis Grizzlies,103,San Antonio Spurs,116,Box Score,,,San Antonio Spurs,Memphis Grizzlies,H
Wed Apr 26 2017,8:30 PM,Chicago Bulls,97,Boston Celtics,108,Box Score,,,Boston Celtics,Chicago Bulls,H
Wed Apr 26 2017,6:00 PM,Atlanta Hawks,99,Washington Wizards,103,Box Score,,,Washington Wizards,Atlanta Hawks,H
Thu Apr 27 2017,9:30 PM,San Antonio Spurs,103,Memphis Grizzlies,96,Box Score,,,San Antonio Spurs,Memphis Grizzlies,V
Thu Apr 27 2017,7:00 PM,Toronto Raptors,92,Milwaukee Bucks,89,Box Score,,,Toronto Raptors,Milwaukee Bucks,V
Fri Apr 28 2017,7:30 PM,Washington Wizards,115,Atlanta Hawks,99,Box Score,,,Washington Wizards,Atlanta Hawks,V
Fri Apr 28 2017,8:00 PM,Boston Celtics,105,Chicago Bulls,83,Box Score,,,Boston Celtics,Chicago Bulls,V
Fri Apr 28 2017,10:30 PM,Los Angeles Clippers,98,Utah Jazz,93,Box Score,,,Los Angeles Clippers,Utah Jazz,V
Sun Apr 30 2017,1:00 PM,Washington Wizards,111,Boston Celtics,123,Box Score,,,Boston Celtics,Washington Wizards,H
Sun Apr 30 2017,3:30 PM,Utah Jazz,104,Los Angeles Clippers,91,Box Score,,,Utah Jazz,Los Angeles Clippers,V
Mon May 1 2017,7:00 PM,Toronto Raptors,105,Cleveland Cavaliers,116,Box Score,,,Cleveland Cavaliers,Toronto Raptors,H
Mon May 1 2017,9:30 PM,Houston Rockets,126,San Antonio Spurs,99,Box Score,,,Houston Rockets,San Antonio Spurs,V
Tue May 2 2017,8:00 PM,Washington Wizards,119,Boston Celtics,129,Box Score,OT,,Boston Celtics,Washington Wizards,H
Tue May 2 2017,10:30 PM,Utah Jazz,94,Golden State Warriors,106,Box Score,,,Golden State Warriors,Utah Jazz,H
Wed May 3 2017,7:00 PM,Toronto Raptors,103,Cleveland Cavaliers,125,Box Score,,,Cleveland Cavaliers,Toronto Raptors,H
Wed May 3 2017,9:30 PM,Houston Rockets,96,San Antonio Spurs,121,Box Score,,,San Antonio Spurs,Houston Rockets,H
Thu May 4 2017,10:30 PM,Utah Jazz,104,Golden State Warriors,115,Box Score,,,Golden State Warriors,Utah Jazz,H
Thu May 4 2017,8:00 PM,Boston Celtics,89,Washington Wizards,116,Box Score,,,Washington Wizards,Boston Celtics,H
Fri May 5 2017,9:30 PM,San Antonio Spurs,103,Houston Rockets,92,Box Score,,,San Antonio Spurs,Houston Rockets,V
Fri May 5 2017,7:00 PM,Cleveland Cavaliers,115,Toronto Raptors,94,Box Score,,,Cleveland Cavaliers,Toronto Raptors,V
Sat May 6 2017,8:30 PM,Golden State Warriors,102,Utah Jazz,91,Box Score,,,Golden State Warriors,Utah Jazz,V
Sun May 7 2017,9:00 PM,San Antonio Spurs,104,Houston Rockets,125,Box Score,,,Houston Rockets,San Antonio Spurs,H
Sun May 7 2017,3:30 PM,Cleveland Cavaliers,109,Toronto Raptors,102,Box Score,,,Cleveland Cavaliers,Toronto Raptors,V
Sun May 7 2017,6:30 PM,Boston Celtics,102,Washington Wizards,121,Box Score,,,Washington Wizards,Boston Celtics,H
Mon May 8 2017,9:00 PM,Golden State Warriors,121,Utah Jazz,95,Box Score,,,Golden State Warriors,Utah Jazz,V
Tue May 9 2017,8:00 PM,Houston Rockets,107,San Antonio Spurs,110,Box Score,OT,,San Antonio Spurs,Houston Rockets,H
Wed May 10 2017,8:00 PM,Washington Wizards,101,Boston Celtics,123,Box Score,,,Boston Celtics,Washington Wizards,H
Thu May 11 2017,8:00 PM,San Antonio Spurs,114,Houston Rockets,75,Box Score,,,San Antonio Spurs,Houston Rockets,V
Fri May 12 2017,8:00 PM,Boston Celtics,91,Washington Wizards,92,Box Score,,,Washington Wizards,Boston Celtics,H
Sun May 14 2017,3:30 PM,San Antonio Spurs,111,Golden State Warriors,113,Box Score,,,Golden State Warriors,San Antonio Spurs,H
Mon May 15 2017,8:00 PM,Washington Wizards,105,Boston Celtics,115,Box Score,,,Boston Celtics,Washington Wizards,H
Tue May 16 2017,9:00 PM,San Antonio Spurs,100,Golden State Warriors,136,Box Score,,,Golden State Warriors,San Antonio Spurs,H
Wed May 17 2017,8:30 PM,Cleveland Cavaliers,117,Boston Celtics,104,Box Score,,,Cleveland Cavaliers,Boston Celtics,V
Fri May 19 2017,8:30 PM,Cleveland Cavaliers,130,Boston Celtics,86,Box Score,,,Cleveland Cavaliers,Boston Celtics,V
Sat May 20 2017,9:00 PM,Golden State Warriors,120,San Antonio Spurs,108,Box Score,,,Golden State Warriors,San Antonio Spurs,V
Sun May 21 2017,8:30 PM,Boston Celtics,111,Cleveland Cavaliers,108,Box Score,,,Boston Celtics,Cleveland Cavaliers,V
Mon May 22 2017,9:00 PM,Golden State Warriors,129,San Antonio Spurs,115,Box Score,,,Golden State Warriors,San Antonio Spurs,V
Tue May 23 2017,8:30 PM,Boston Celtics,99,Cleveland Cavaliers,112,Box Score,,,Cleveland Cavaliers,Boston Celtics,H
Thu May 25 2017,8:30 PM,Cleveland Cavaliers,135,Boston Celtics,102,Box Score,,,Cleveland Cavaliers,Boston Celtics,V
Thu Jun 1 2017,9:00 PM,Cleveland Cavaliers,91,Golden State Warriors,113,Box Score,,,Golden State Warriors,Cleveland Cavaliers,H
Sun Jun 4 2017,8:00 PM,Cleveland Cavaliers,113,Golden State Warriors,132,Box Score,,,Golden State Warriors,Cleveland Cavaliers,H
Wed Jun 7 2017,9:00 PM,Golden State Warriors,118,Cleveland Cavaliers,113,Box Score,,,Golden State Warriors,Cleveland Cavaliers,V
Fri Jun 9 2017,9:00 PM,Golden State Warriors,116,Cleveland Cavaliers,137,Box Score,,,Cleveland Cavaliers,Golden State Warriors,H
Mon Jun 12 2017,9:00 PM,Cleveland Cavaliers,120,Golden State Warriors,129,Box Score,,,Golden State Warriors,Cleveland Cavaliers,H
